Date,AAPL,TSLA,SP500
2010-12-29,9.75561,1.84867,1259.78
2010-12-30,9.70748,1.76667,1257.88
2010-12-31,9.67411,1.77533,1257.64
2011-01-03,9.88334,1.77467,1271.87
2011-01-04,9.93532,1.778,1270.2
2011-01-05,10.0177,1.78867,1276.56
2011-01-06,10.0098,1.85867,1273.85
2011-01-07,10.0817,1.88267,1271.5
2011-01-10,10.2701,1.89667,1269.75
2011-01-11,10.2467,1.79733,1274.48
2011-01-12,10.3312,1.79733,1285.96
2011-01-13,10.3674,1.748,1283.76
2011-01-14,10.449,1.71667,1293.24
2011-01-18,10.2163,1.70933,1295.02
2011-01-19,10.1622,1.602,1281.92
2011-01-20,9.97868,1.508,1280.26
2011-01-21,9.79785,1.536,1283.35
2011-01-24,10.1199,1.63267,1290.84
2011-01-25,10.2399,1.64533,1291.18
2011-01-26,10.3133,1.65,1296.63
2011-01-27,10.2948,1.66133,1299.54
2011-01-28,10.0807,1.60067,1276.34
2011-01-31,10.1761,1.60667,1286.12
2011-02-01,10.35,1.594,1307.59
2011-02-02,10.3272,1.596,1304.03
2011-02-03,10.3017,1.57533,1307.1
2011-02-04,10.3919,1.564,1310.87
2011-02-07,10.5531,1.538,1319.05
2011-02-08,10.6524,1.63267,1324.57
2011-02-09,10.7426,1.54733,1320.88
2011-02-10,10.6336,1.54733,1321.87
2011-02-11,10.7033,1.55,1329.15
2011-02-14,10.7712,1.53867,1332.32
2011-02-15,10.7937,1.52267,1328.01
2011-02-16,10.8899,1.64867,1336.32
2011-02-18,10.513,1.54533,1343.01
2011-02-22,10.1555,1.458,1315.44
2011-02-23,10.2761,1.45533,1307.4
2011-02-24,10.2841,1.502,1306.1
2011-02-25,10.4402,1.574,1319.88
2011-02-28,10.5934,1.59267,1327.22
2011-03-01,10.4754,1.596,1306.33
2011-03-02,10.56,1.60133,1308.44
2011-03-03,10.7829,1.624,1330.97
2011-03-04,10.7957,1.66333,1321.15
2011-03-07,10.6582,1.66267,1310.13
2011-03-08,10.669,1.644,1321.82
2011-03-09,10.5708,1.648,1320.02
2011-03-10,10.3968,1.60067,1295.11
2011-03-11,10.5571,1.60467,1304.28
2011-03-14,10.6043,1.55,1296.39
2011-03-15,10.3608,1.53,1281.87
2011-03-16,9.89698,1.52133,1256.88
2011-03-17,10.0375,1.52067,1273.72
2011-03-18,9.91675,1.53067,1279.21
2011-03-21,10.1751,1.51533,1298.38
2011-03-22,10.234,1.47933,1293.77
2011-03-23,10.1721,1.48067,1297.54
2011-03-24,10.348,1.48867,1309.66
2011-03-25,10.5431,1.51667,1313.8
2011-03-28,10.509,1.55,1310.19
2011-03-29,10.5256,1.59467,1319.44
2011-03-30,10.4539,1.58067,1328.26
2011-03-31,10.4509,1.85,1325.83
2011-04-01,10.3352,1.77733,1332.41
2011-04-04,10.233,1.722,1332.87
2011-04-05,10.1642,1.78,1332.63
2011-04-06,10.1378,1.766,1335.54
2011-04-07,10.1388,1.816,1333.51
2011-04-08,10.0493,1.766,1328.17
2011-04-11,9.92155,1.68467,1324.46
2011-04-12,9.96971,1.64333,1314.16
2011-04-13,10.0817,1.662,1314.41
2011-04-14,9.96971,1.676,1314.52
2011-04-15,9.82142,1.70533,1319.68
2011-04-18,9.95298,1.66867,1305.14
2011-04-19,10.1318,1.67733,1312.62
2011-04-20,10.2692,1.71667,1330.36
2011-04-21,10.5178,1.78267,1337.38
2011-04-25,10.5874,1.75933,1335.25
2011-04-26,10.5081,1.79533,1347.24
2011-04-27,10.5002,1.80533,1355.66
2011-04-28,10.3998,1.844,1360.48
2011-04-29,10.5002,1.84,1363.61
2011-05-02,10.386,1.83,1361.22
2011-05-03,10.4411,1.79133,1356.62
2011-05-04,10.4823,1.77933,1347.32
2011-05-05,10.3998,1.76267,1335.1
2011-05-06,10.3958,1.808,1340.2
2011-05-09,10.4246,1.86067,1346.29
2011-05-10,10.4794,1.88867,1357.16
2011-05-11,10.4128,1.80467,1342.08
2011-05-12,10.3938,1.84467,1348.65
2011-05-13,10.2124,1.83667,1337.77
2011-05-16,9.99631,1.77333,1329.47
2011-05-17,10.0817,1.73067,1328.98
2011-05-18,10.1915,1.75667,1340.68
2011-05-19,10.2134,1.88,1343.6
2011-05-20,10.0543,1.86467,1333.27
2011-05-23,10.0306,1.788,1317.37
2011-05-24,9.96294,1.78133,1316.28
2011-05-25,10.1003,1.932,1320.47
2011-05-26,10.0484,1.96533,1325.69
2011-05-27,10.1189,1.97,1331.1
2011-05-31,10.4325,2.00933,1345.2
2011-06-01,10.3627,1.90133,1314.55
2011-06-02,10.381,1.91733,1312.94
2011-06-03,10.3017,2.00867,1300.16
2011-06-06,10.1378,1.91333,1286.17
2011-06-07,9.95796,1.89133,1284.94
2011-06-08,9.96384,1.808,1279.56
2011-06-09,9.94128,1.84133,1289.0
2011-06-10,9.77331,1.85733,1270.98
2011-06-13,9.79489,1.89533,1271.83
2011-06-14,9.9707,1.90667,1287.87
2011-06-15,9.79883,1.82133,1265.42
2011-06-16,9.75169,1.76667,1267.64
2011-06-17,9.60535,1.76667,1271.5
2011-06-20,9.459,1.734,1278.36
2011-06-21,9.75561,1.83533,1295.52
2011-06-22,9.67509,1.814,1287.14
2011-06-23,9.93334,1.84733,1283.5
2011-06-24,9.78704,1.838,1268.45
2011-06-27,9.95796,1.83067,1280.1
2011-06-28,10.0553,1.874,1296.67
2011-06-29,10.0186,1.886,1307.41
2011-06-30,10.067,1.942,1320.64
