Date,AAPL,MA50,MA200,return,lag1,lag2,ma10
2011-09-07,11.5147,11.177055999999999,10.38173835,0.011045842882104528,0.01531590161449925,-0.01830863884196976,11.44748
2011-09-08,11.5207,11.206363999999999,10.3933442,0.0005210730631279858,0.011045842882104528,0.01531590161449925,11.471350000000001
2011-09-09,11.3209,11.23241,10.402953199999999,-0.017342696190335682,0.0005210730631279858,0.011045842882104528,11.48261
2011-09-12,11.3956,11.258981999999998,10.413634,0.00659841532033667,-0.017342696190335682,0.0005210730631279858,11.47179
2011-09-13,11.5354,11.283774,10.4240995,0.01226789287093255,0.00659841532033667,-0.017342696190335682,11.4558
2011-09-14,11.6768,11.307742000000001,10.43524245,0.012257919101201553,0.01226789287093255,0.00659841532033667,11.45385
2011-09-15,11.7848,11.332456000000002,10.446655250000001,0.009249109345025985,0.012257919101201553,0.01226789287093255,11.47812
2011-09-16,12.0115,11.35842,10.460051150000002,0.019236643812368337,0.009249109345025985,0.012257919101201553,11.53664
2011-09-19,12.3465,11.389593999999999,10.474341299999999,0.027889938808641768,0.019236643812368337,0.009249109345025985,11.64958
2011-09-20,12.3995,11.425248,10.488631349999999,0.004292714534483322,0.027889938808641768,0.019236643812368337,11.75064
2011-09-21,12.3623,11.460291999999999,10.5028433,-0.003000120972619924,0.004292714534483322,0.027889938808641768,11.8354
2011-09-22,12.0519,11.486576,10.515090749999999,-0.02510859629680562,-0.003000120972619924,0.004292714534483322,11.888520000000002
2011-09-23,12.1254,11.514488000000002,10.528000399999998,0.006098623453563379,-0.02510859629680562,-0.003000120972619924,11.96897
2011-09-26,12.0911,11.537408000000001,10.5403162,-0.0028287726590463524,0.006098623453563379,-0.02510859629680562,12.03852
2011-09-27,11.9744,11.55269,10.55224005,-0.009651727303554014,-0.0028287726590463524,0.006098623453563379,12.08242
2011-09-28,11.9075,11.56481,10.563706649999999,-0.005586918760021264,-0.009651727303554014,-0.0028287726590463524,12.10549
2011-09-29,11.7141,11.567006000000001,10.574044149999999,-0.01624186437119468,-0.005586918760021264,-0.009651727303554014,12.09842
